epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
93,723.419,1.76457,1.10852,0.9492,0.79545,0.78541,0.83355,0.37886,1.57876,0.97589,0.94629,0.0013928,0.0013928,0.0013928
94,731.608,1.64402,1.06799,0.94756,0.7659,0.77253,0.80112,0.3424,1.55919,1.00822,0.9477,0.0013862,0.0013862,0.0013862
95,740.297,1.70864,1.09178,0.98667,0.7659,0.77253,0.80112,0.3424,1.55919,1.00822,0.9477,0.0013796,0.0013796,0.0013796
96,748.649,1.728,1.08439,0.95522,0.74754,0.7752,0.8005,0.34182,1.53061,1.0018,0.94811,0.001373,0.001373,0.001373
97,756.408,1.67746,1.06635,0.9884,0.74754,0.7752,0.8005,0.34182,1.53061,1.0018,0.94811,0.0013664,0.0013664,0.0013664
98,763.503,1.73032,1.07265,0.9679,0.78488,0.76729,0.82553,0.38432,1.51456,0.94832,0.95095,0.0013598,0.0013598,0.0013598
99,771.067,1.64911,1.07317,0.93115,0.78488,0.76729,0.82553,0.38432,1.51456,0.94832,0.95095,0.0013532,0.0013532,0.0013532
100,778.669,1.61022,1.01461,0.93942,0.78791,0.79723,0.83303,0.39104,1.5485,0.93933,0.95476,0.0013466,0.0013466,0.0013466
101,786.828,1.57573,0.99973,0.95608,0.78791,0.79723,0.83303,0.39104,1.5485,0.93933,0.95476,0.00134,0.00134,0.00134
102,794.857,1.68208,1.04637,0.97157,0.7789,0.80687,0.83561,0.39697,1.49227,0.92403,0.94821,0.0013334,0.0013334,0.0013334
103,803.006,1.51107,0.99162,0.94781,0.7789,0.80687,0.83561,0.39697,1.49227,0.92403,0.94821,0.0013268,0.0013268,0.0013268
104,811.474,1.70081,1.07432,0.95772,0.74421,0.85408,0.8277,0.39325,1.46388,0.92194,0.94482,0.0013202,0.0013202,0.0013202
105,819.006,1.68961,1.04435,0.93093,0.74421,0.85408,0.8277,0.39325,1.46388,0.92194,0.94482,0.0013136,0.0013136,0.0013136
106,826.724,1.4655,0.94566,0.90885,0.77292,0.83267,0.83281,0.38291,1.52795,0.91981,0.95429,0.001307,0.001307,0.001307
107,834.542,1.53177,0.98713,0.95138,0.77292,0.83267,0.83281,0.38291,1.52795,0.91981,0.95429,0.0013004,0.0013004,0.0013004
108,842.086,1.56488,0.98733,0.90889,0.79718,0.84347,0.84363,0.40373,1.48993,0.90258,0.95517,0.0012938,0.0012938,0.0012938
109,850.061,1.48577,0.98081,0.93426,0.79718,0.84347,0.84363,0.40373,1.48993,0.90258,0.95517,0.0012872,0.0012872,0.0012872
110,857.251,1.56181,1.00786,0.96641,0.83094,0.81974,0.86274,0.43404,1.40259,0.8862,0.9473,0.0012806,0.0012806,0.0012806
111,865.147,1.5767,1.0387,0.96234,0.83094,0.81974,0.86274,0.43404,1.40259,0.8862,0.9473,0.001274,0.001274,0.001274
112,873.156,1.66287,0.98615,0.92645,0.83635,0.82403,0.8674,0.43972,1.37584,0.87672,0.94358,0.0012674,0.0012674,0.0012674
113,880.581,1.63455,1.0315,0.95882,0.83635,0.82403,0.8674,0.43972,1.37584,0.87672,0.94358,0.0012608,0.0012608,0.0012608
114,887.803,1.37225,0.94254,0.95326,0.84489,0.80258,0.86188,0.4423,1.3616,0.89713,0.93844,0.0012542,0.0012542,0.0012542
115,895.955,1.47402,0.94718,0.94642,0.84489,0.80258,0.86188,0.4423,1.3616,0.89713,0.93844,0.0012476,0.0012476,0.0012476
116,903.694,1.42983,0.94553,0.93174,0.84914,0.79721,0.85981,0.42805,1.40259,0.91305,0.94055,0.001241,0.001241,0.001241
117,911.606,1.58823,0.99536,0.93096,0.84914,0.79721,0.85981,0.42805,1.40259,0.91305,0.94055,0.0012344,0.0012344,0.0012344
118,919.673,1.42532,0.9185,0.92057,0.85942,0.79828,0.85457,0.43238,1.56494,0.89672,0.95025,0.0012278,0.0012278,0.0012278
119,927.583,1.41962,0.95392,0.96763,0.85942,0.79828,0.85457,0.43238,1.56494,0.89672,0.95025,0.0012212,0.0012212,0.0012212
120,935.547,1.46687,0.96466,0.96997,0.81564,0.85445,0.85314,0.39999,1.7266,0.87302,0.96872,0.0012146,0.0012146,0.0012146
121,942.75,1.33286,0.90397,0.93657,0.81564,0.85445,0.85314,0.39999,1.7266,0.87302,0.96872,0.001208,0.001208,0.001208
122,949.64,2.02073,1.054,0.96491,0.82739,0.83691,0.85548,0.38857,1.76461,0.87495,0.9763,0.0012014,0.0012014,0.0012014
123,957.137,1.46917,0.92726,0.93097,0.82739,0.83691,0.85548,0.38857,1.76461,0.87495,0.9763,0.0011948,0.0011948,0.0011948
124,964.718,1.60734,0.94781,0.93798,0.83909,0.87554,0.86717,0.4234,1.64243,0.874,0.95827,0.0011882,0.0011882,0.0011882
125,972.578,1.54331,0.9599,0.94023,0.83909,0.87554,0.86717,0.4234,1.64243,0.874,0.95827,0.0011816,0.0011816,0.0011816
126,980.203,1.48631,0.95015,0.9232,0.84856,0.86575,0.86706,0.43252,1.52227,0.87513,0.9494,0.001175,0.001175,0.001175
127,987.444,1.45604,0.93582,0.94646,0.84856,0.86575,0.86706,0.43252,1.52227,0.87513,0.9494,0.0011684,0.0011684,0.0011684
128,995.525,1.40591,0.92794,0.92611,0.82579,0.88412,0.879,0.4395,1.46664,0.86708,0.94169,0.0011618,0.0011618,0.0011618
129,1002.36,1.44536,0.91099,0.92999,0.82579,0.88412,0.879,0.4395,1.46664,0.86708,0.94169,0.0011552,0.0011552,0.0011552
130,1011.03,1.47976,0.94792,0.91818,0.83293,0.87726,0.88881,0.45537,1.55755,0.84188,0.94813,0.0011486,0.0011486,0.0011486
131,1019.29,1.60753,0.96379,0.92011,0.83293,0.87726,0.88881,0.45537,1.55755,0.84188,0.94813,0.001142,0.001142,0.001142
132,1026.63,1.34273,0.89426,0.95639,0.82943,0.88412,0.88056,0.45665,1.68912,0.83305,0.95915,0.0011354,0.0011354,0.0011354
133,1034.47,1.96981,0.94393,0.99494,0.82943,0.88412,0.88056,0.45665,1.68912,0.83305,0.95915,0.0011288,0.0011288,0.0011288
134,1043.82,1.8664,0.87919,0.96919,0.8352,0.89177,0.87349,0.45592,1.68922,0.83886,0.95853,0.0011222,0.0011222,0.0011222
